timestamp,ultimaActualizacion,circuitosEscrutados,totalCircuitos,circuitosConObservaciones,totalHabilitados,votos_Frente_Amplio,votos_Partido_Nacional,votos_Partido_Colorado,votos_Partido_Asamblea_Popular
2025-05-15T13:03:02.638885,15/5/2025 10:00,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T13:07:15.048398,15/5/2025 10:00,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T13:23:38.497950,15/5/2025 10:20,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T13:39:42.614776,15/5/2025 10:30,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T13:50:03.539074,15/5/2025 10:40,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T13:58:38.590332,15/5/2025 10:50,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T14:10:18.845971,15/5/2025 11:00,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T14:24:59.205289,15/5/2025 11:20,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T14:38:48.998585,15/5/2025 11:30,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T14:48:43.036132,15/5/2025 11:40,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T14:57:47.692781,15/5/2025 11:50,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T15:09:05.364784,15/5/2025 12:00,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T15:23:31.257705,15/5/2025 12:20,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T15:35:27.727760,15/5/2025 12:30,54 ( 37.76% SIN OBSERVADOS),143,0,50703,8398,7609,2144,62
2025-05-15T15:45:47.813694,15/5/2025 12:40,65 ( 45.45% SIN OBSERVADOS),143,0,50703,10272,9012,2524,72
2025-05-15T15:54:37.525897,15/5/2025 12:40,65 ( 45.45% SIN OBSERVADOS),143,0,50703,10272,9012,2524,72
2025-05-15T16:06:45.706698,15/5/2025 13:00,65 ( 45.45% SIN OBSERVADOS),143,0,50703,10272,9012,2524,72
2025-05-15T16:20:47.929885,15/5/2025 13:10,72 ( 50.35% SIN OBSERVADOS),143,0,50703,11202,9768,2722,76
2025-05-15T16:36:48.232139,15/5/2025 13:30,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T16:49:29.455009,15/5/2025 13:40,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T16:58:46.606011,15/5/2025 13:50,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T17:10:26.658779,15/5/2025 14:00,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T17:24:04.582645,15/5/2025 14:20,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T17:35:07.640208,15/5/2025 14:30,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T17:44:34.069558,15/5/2025 14:40,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T17:53:36.095508,15/5/2025 14:50,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T18:04:37.197882,15/5/2025 15:00,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T18:18:16.085545,15/5/2025 15:10,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T18:36:41.121278,15/5/2025 15:30,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T18:49:43.299235,15/5/2025 15:40,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T18:58:40.882064,15/5/2025 15:50,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:09:52.535978,15/5/2025 16:00,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:22:10.099636,15/5/2025 16:20,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:31:01.936128,15/5/2025 16:20,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:40:37.021573,15/5/2025 16:30,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:49:25.404659,15/5/2025 16:40,75 ( 52.45% SIN OBSERVADOS),143,0,50703,11688,10124,2813,79
2025-05-15T19:57:48.973268,15/5/2025 16:50,82 ( 57.34% SIN OBSERVADOS),143,0,50703,11864,10668,3005,79
2025-05-15T20:09:39.454209,15/5/2025 17:00,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T20:24:23.646026,15/5/2025 17:20,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T20:37:03.281139,15/5/2025 17:30,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T20:47:02.884763,15/5/2025 17:40,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T20:55:39.812510,15/5/2025 17:50,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:07:01.586906,15/5/2025 18:00,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:20:18.628257,15/5/2025 18:10,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:31:46.023083,15/5/2025 18:30,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:41:34.529334,15/5/2025 18:40,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:50:03.748823,15/5/2025 18:40,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T21:58:32.898820,15/5/2025 18:50,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T22:10:05.182651,15/5/2025 19:00,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T22:24:20.000257,15/5/2025 19:20,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T22:37:07.066573,15/5/2025 19:30,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T22:46:24.916263,15/5/2025 19:40,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T22:54:57.276299,15/5/2025 19:50,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T23:06:19.411799,15/5/2025 20:00,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T23:19:46.852049,15/5/2025 20:10,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T23:31:00.401765,15/5/2025 20:20,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T23:40:43.426598,15/5/2025 20:30,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
2025-05-15T23:49:31.721140,15/5/2025 20:40,98 ( 68.53% SIN OBSERVADOS),143,0,50703,12517,11871,3374,82
